NAME;LINE
W 4th St - Washington Sq (Lower);B-D-F-M
Buhre Ave;6-6 Express
51st St;4-6-6 Express
86th St;1-2
Brooklyn Bridge - City Hall;4-5-6-6 Express
33rd St;4-6-6 Express
Lexington Ave - 59th St;4-5-6-6 Express
233rd St;2-5
66th St - Lincoln Ctr;1-2
Hunts Point Ave;6-6 Express
Canal St;1-2
Middletown Rd;6-6 Express
23rd St;4-6-6 Express
45th Rd - Court House Sq;7-7 Express
Astor Pl;4-6-6 Express
59th St - Columbus Circle;1-2
Hunters Point Ave;7-7 Express
96th St;4-6-6 Express
Mets - Willets Point;7-7 Express
23rd St;1-2
Houston St;1-2
3rd Ave - 138th St;6-6 Express
Zerega Ave;6-6 Express
104th St;A-S
Bleecker St (Downtown);4-6-6 Express
Castle Hill Ave;6-6 Express
Broad Channel;A-S
Ocean Pkwy;Q
50th St;1-2
Vernon Blvd - Jackson Ave;7-7 Express
68th St - Hunter College;4-6-6 Express
Queensboro Plz;7-7 Express-N-W
Rockaway Blvd;A-S
Union Sq - 14th St;4-5-6-6 Express
Junction Blvd;7-7 Express
Classon Ave;G
Bedford - Nostrand Aves;G
15th St - Prospect Park;F-G
7th Ave;F-G
Ft Hamilton Pkwy;F-G
Church Ave;F-G
Beverly Rd;B-Q
Church Ave;B-Q
Newkirk Ave;B-Q
Parkside Ave;B-Q
Prospect Park;B-Q-S
Grand Army Plaza;2-3-4
Bergen St;2-3-4
Atlantic Ave;2-3-4-5
Rockaway Ave;A-C
Fulton St;G
Clinton - Washington Aves;G
7th Ave;B-Q
Atlantic Ave;B-Q
Union St;D-N-R
Atlantic Av - Pacific St;D-N-R
Borough Hall;4-5
Aqueduct Racetrack (To Manh Only);A
DeKalb Ave;B-D-N-Q-R
Morris Park;5
Pelham Pkwy;5
Nostrand Ave;A-C
Nevins St;2-3-4-5
Eastern Pkwy - Bklyn Museum;2-3-4
Franklin Ave;2-3-4-5
Beverly Rd;2-5
Church Ave;2-5
Newkirk Ave;2-5
Brooklyn College - Flatbush Ave;2-5
Winthrop St;2-5
Sterling St;2-5
Crown Hts - Utica Ave;3-4
Kingston Ave;3-4
Kingston - Throop Aves;A-C
Nassau Ave;G
Greenpoint Ave;G
Marcy Ave;J-M-Z
Hewes St;J-M
Essex St;J-M-Z
138th St - Grand Concourse;4-5
5th Ave - 53rd St;E-M
Lexington Ave - 53rd St;E-M
28th St;N-R
Herald Sq - 34th St;N-Q-R
1st Ave;L
Grand Central - 42nd St;S
Times Sq - 42nd St;S
42nd St - Bryant Pk;B-D-F-M
Times Sq - 42nd St;N-Q-R
Metropolitan Ave;G
Grand St;L
Graham Ave;L
Lorimer St;L
Bedford Ave;L
Broadway;G
Lorimer St;J-M
Montrose Ave;L
23rd St - Ely Av;E-M
Long Island City - Court Sq;G
21st St;G
39th Ave;N-Q
36th Ave;N-Q
145th St;1
157th St;1
96th St;1-2-3
103rd St;1
Central Park North (110th St);2-3
103rd St;A-B-C
Cathedral Pkwy (110th St);A-B-C
72nd St;1-2-3
72nd St;A-B-C
81st St;A-B-C
75th Ave;E-F
Kew Gardens - Union Tpke;E-F
86th St;A-B-C
96th St;A-B-C
Cathedral Pkwy (110th St);1
116th St - Columbia University;1
125th St;2-3
135th St;2-3
149th St - Grand Concourse;4
116th St;2-3
Tremont Ave;B-D
182nd-183rd Sts;B-D
137th St - City College;1
145th St;3
176th St;4
Burnside Ave;4
170th St;B-D
174th-175th Sts;B-D
168th St;1
181st St;1
168th St;A-C
191st St;1
175th St;A
Beach 44th St;A
Beach 60th St;A
