transit_timestamp	transit_mode	station_complex_id	station_complex	borough	payment_method	fare_class_category	ridership	transfers	latitude	longitude	georeference	:@computed_region_kjdx_g34t	:@computed_region_yamh_8v7k	:@computed_region_wbg7_3whc
2023-10-24T18:00:00.000	subway	2	Astoria Blvd (N,W)	Queens	metrocard	Metrocard - Unlimited 30-Day	36.0	0.0	40.77026	-73.91785	{'type': 'Point', 'coordinates': [-73.91785, 40.77026]}	2137	196	874
2023-10-24T18:00:00.000	subway	201	Beach 98 St (A,S)	Queens	metrocard	Metrocard - Full Fare	1.0	0.0	40.585308	-73.82056	{'type': 'Point', 'coordinates': [-73.82056, 40.585308]}	2137	196	1030
2023-10-24T18:00:00.000	subway	290	Classon Av (G)	Brooklyn	metrocard	Metrocard - Full Fare	25.0	0.0	40.688873	-73.96007	{'type': 'Point', 'coordinates': [-73.96007, 40.688873]}	2090	894	821
2023-10-24T18:00:00.000	subway	327	Chambers St (1,2,3)	Manhattan	metrocard	Metrocard - Seniors & Disability	47.0	2.0	40.715477	-74.00927	{'type': 'Point', 'coordinates': [-74.00927, 40.715477]}	2095	749	723
2023-10-24T18:00:00.000	subway	339	Bergen St (2,3)	Brooklyn	metrocard	Metrocard - Students	10.0	1.0	40.68083	-73.9751	{'type': 'Point', 'coordinates': [-73.9751, 40.68083]}	2090	894	895
2023-10-24T18:00:00.000	subway	341	Eastern Pkwy-Brooklyn Museum (2,3)	Brooklyn	metrocard	Metrocard - Students	12.0	0.0	40.671986	-73.96438	{'type': 'Point', 'coordinates': [-73.96438, 40.671986]}	2090	894	821
2023-10-24T18:00:00.000	subway	346	Sutter Av-Rutland Rd (3)	Brooklyn	metrocard	Metrocard - Students	10.0	0.0	40.66472	-73.92261	{'type': 'Point', 'coordinates': [-73.92261, 40.66472]}	2090	894	890
2023-10-24T18:00:00.000	subway	368	Morrison Av-Soundview (6)	Bronx	metrocard	Metrocard - Seniors & Disability	1.0	0.0	40.82952	-73.87452	{'type': 'Point', 'coordinates': [-73.87452, 40.82952]}	2032	307	709
2023-10-24T18:00:00.000	subway	381	Kingsbridge Rd (4)	Bronx	metrocard	Metrocard - Full Fare	59.0	4.0	40.86776	-73.89717	{'type': 'Point', 'coordinates': [-73.89717, 40.86776]}	2032	307	705
2023-10-24T18:00:00.000	subway	391	138 St-Grand Concourse (4,5)	Bronx	metrocard	Metrocard - Unlimited 7-Day	20.0	0.0	40.813225	-73.92985	{'type': 'Point', 'coordinates': [-73.92985, 40.813225]}	2095	307	647
2023-10-24T18:00:00.000	subway	407	Astor Pl (6)	Manhattan	metrocard	Metrocard - Seniors & Disability	17.0	0.0	40.730053	-73.99107	{'type': 'Point', 'coordinates': [-73.99107, 40.730053]}	2095	749	719
2023-10-24T18:00:00.000	subway	413	Wall St (4,5)	Manhattan	metrocard	Metrocard - Unlimited 7-Day	83.0	0.0	40.707558	-74.01186	{'type': 'Point', 'coordinates': [-74.01186, 40.707558]}	2095	749	721
2023-10-24T18:00:00.000	subway	420	219 St (2,5)	Bronx	metrocard	Metrocard - Students	5.0	0.0	40.883896	-73.86263	{'type': 'Point', 'coordinates': [-73.86263, 40.883896]}	2032	307	704
2023-10-24T18:00:00.000	subway	455	69 St (7)	Queens	metrocard	Metrocard - Unlimited 30-Day	26.0	0.0	40.746326	-73.8964	{'type': 'Point', 'coordinates': [-73.8964, 40.746326]}	2137	196	846
2023-10-24T18:00:00.000	subway	464	Vernon Blvd-Jackson Av (7)	Queens	metrocard	Metrocard - Full Fare	87.0	5.0	40.742626	-73.95358	{'type': 'Point', 'coordinates': [-73.95358, 40.742626]}	2137	196	873
2023-10-24T18:00:00.000	subway	49	Avenue J (Q)	Brooklyn	metrocard	Metrocard - Fair Fare	12.0	2.0	40.62504	-73.9608	{'type': 'Point', 'coordinates': [-73.9608, 40.62504]}	2090	894	813
2023-10-24T18:00:00.000	subway	50	Avenue M (Q)	Brooklyn	metrocard	Metrocard - Fair Fare	14.0	0.0	40.61762	-73.9594	{'type': 'Point', 'coordinates': [-73.9594, 40.61762]}	2090	894	813
2023-10-24T18:00:00.000	subway	59	9 Av (D)	Brooklyn	metrocard	Metrocard - Unlimited 7-Day	17.0	0.0	40.646294	-73.99432	{'type': 'Point', 'coordinates': [-73.99432, 40.646294]}	2090	894	897
2023-10-24T18:00:00.000	subway	601	14 St (F,M,1,2,3)/6 Av (L)	Manhattan	metrocard	Metrocard - Unlimited 7-Day	295.0	0.0	40.738228	-73.99621	{'type': 'Point', 'coordinates': [-73.99621, 40.738228]}	2095	749	735
2023-10-24T18:00:00.000	subway	618	14 St (A,C,E)/8 Av (L)	Manhattan	metrocard	Metrocard - Full Fare	506.0	2.0	40.740894	-74.00169	{'type': 'Point', 'coordinates': [-74.00169, 40.740894]}	2095	749	735
